time_s,step_name,segment_name,released_count,active_count,stuck_count,absorbed_count,escaped_count,invalid_mask_stopped_count_step,save_positions_enabled,write_wall_events_enabled,write_diagnostics_enabled,valid_mask_violation_count_step
0.01,run,run,250,240,0,0,0,10,1,1,1,10
0.02,run,run,500,472,0,0,0,18,1,1,1,18
0.03,run,run,750,698,0,0,0,24,1,1,1,24
0.04,run,run,1000,923,1,0,0,24,1,1,1,24
0.05,run,run,1250,1152,2,0,0,20,1,1,1,20
0.060000000000000005,run,run,1500,1382,3,0,0,19,1,1,1,19
0.07,run,run,1750,1598,8,0,0,29,1,1,1,29
0.08,run,run,2000,1818,11,0,0,27,1,1,1,27
0.09,run,run,2250,2041,13,0,0,25,1,1,1,25
0.09999999999999999,run,run,2500,2261,14,0,0,29,1,1,1,29
0.10999999999999999,run,run,2750,2483,21,0,0,21,1,1,1,21
0.11999999999999998,run,run,3000,2693,29,0,0,32,1,1,1,32
0.12999999999999998,run,run,3250,2904,34,0,0,34,1,1,1,34
0.13999999999999999,run,run,3500,3125,40,0,0,23,1,1,1,23
0.15,run,run,3750,3350,45,0,0,20,1,1,1,20
0.16,run,run,4000,3559,51,0,0,35,1,1,1,35
0.17,run,run,4250,3768,59,0,0,33,1,1,1,33
0.18000000000000002,run,run,4500,3971,66,0,0,40,1,1,1,40
0.19000000000000003,run,run,4750,4167,76,0,0,44,1,1,1,44
0.20000000000000004,run,run,5000,4374,87,0,0,32,1,1,1,32
0.21000000000000005,run,run,5250,4578,99,0,0,34,1,1,1,34
0.22000000000000006,run,run,5500,4785,108,0,0,34,1,1,1,34
0.23000000000000007,run,run,5750,4988,118,0,0,37,1,1,1,37
0.24000000000000007,run,run,6000,5192,134,0,0,30,1,1,1,30
0.25000000000000006,run,run,6250,5399,144,0,0,33,1,1,1,33
0.26000000000000006,run,run,6500,5606,153,0,0,34,1,1,1,34
0.2700000000000001,run,run,6750,5813,167,0,0,29,1,1,1,29
0.2800000000000001,run,run,7000,6005,181,0,0,44,1,1,1,44
0.2900000000000001,run,run,7250,6189,199,0,0,48,1,1,1,48
0.3000000000000001,run,run,7500,6395,213,0,0,30,1,1,1,30
0.3100000000000001,run,run,7750,6601,228,0,0,29,1,1,1,29
0.3200000000000001,run,run,8000,6793,237,0,0,49,1,1,1,49
0.3300000000000001,run,run,8250,6990,254,0,0,36,1,1,1,36
0.34000000000000014,run,run,8500,7176,271,0,0,47,1,1,1,47
0.35000000000000014,run,run,8750,7363,286,0,0,48,1,1,1,48
0.36000000000000015,run,run,9000,7549,300,0,0,50,1,1,1,50
0.37000000000000016,run,run,9250,7741,313,0,0,45,1,1,1,45
0.38000000000000017,run,run,9500,7930,329,0,0,45,1,1,1,45
0.3900000000000002,run,run,9750,8121,340,0,0,48,1,1,1,48
0.4000000000000002,run,run,10000,8319,354,0,0,38,1,1,1,38
0.4100000000000002,run,run,10000,8277,367,0,0,29,1,1,1,29
0.4200000000000002,run,run,10000,8227,384,0,0,33,1,1,1,33
0.4300000000000002,run,run,10000,8188,397,0,0,26,1,1,1,26
0.4400000000000002,run,run,10000,8140,416,0,0,29,1,1,1,29
0.45000000000000023,run,run,10000,8090,433,0,0,33,1,1,1,33
0.46000000000000024,run,run,10000,8043,451,0,0,29,1,1,1,29
0.47000000000000025,run,run,10000,7999,464,0,0,31,1,1,1,31
0.48000000000000026,run,run,10000,7959,478,0,0,26,1,1,1,26
0.49000000000000027,run,run,10000,7920,491,0,0,26,1,1,1,26
0.5000000000000002,run,run,10000,7880,506,0,0,25,1,1,1,25
0.5100000000000002,run,run,10000,7840,522,0,0,24,1,1,1,24
0.5200000000000002,run,run,10000,7786,541,0,0,35,1,1,1,35
0.5300000000000002,run,run,10000,7753,550,0,0,24,1,1,1,24
0.5400000000000003,run,run,10000,7720,562,0,0,21,1,1,1,21
0.5500000000000003,run,run,10000,7687,576,0,0,19,1,1,1,19
0.5600000000000003,run,run,10000,7656,584,0,0,23,1,1,1,23
0.5700000000000003,run,run,10000,7620,597,0,0,23,1,1,1,23
0.5800000000000003,run,run,10000,7585,608,0,0,24,1,1,1,24
0.5900000000000003,run,run,10000,7562,616,0,0,15,1,1,1,15
0.6000000000000003,run,run,10000,7524,625,0,0,29,1,1,1,29
0.6100000000000003,run,run,10000,7500,633,0,0,16,1,1,1,16
0.6200000000000003,run,run,10000,7478,638,0,0,17,1,1,1,17
0.6300000000000003,run,run,10000,7454,645,0,0,17,1,1,1,17
0.6400000000000003,run,run,10000,7439,649,0,0,11,1,1,1,11
0.6500000000000004,run,run,10000,7412,657,0,0,19,1,1,1,19
0.6600000000000004,run,run,10000,7399,660,0,0,10,1,1,1,10
0.6700000000000004,run,run,10000,7379,663,0,0,17,1,1,1,17
0.6800000000000004,run,run,10000,7368,667,0,0,7,1,1,1,7
0.6900000000000004,run,run,10000,7342,673,0,0,20,1,1,1,20
0.7000000000000004,run,run,10000,7321,676,0,0,18,1,1,1,18
0.7100000000000004,run,run,10000,7304,681,0,0,12,1,1,1,12
0.7200000000000004,run,run,10000,7286,684,0,0,15,1,1,1,15
0.7300000000000004,run,run,10000,7265,687,0,0,18,1,1,1,18
0.7400000000000004,run,run,10000,7249,688,0,0,15,1,1,1,15
0.7500000000000004,run,run,10000,7229,690,0,0,18,1,1,1,18
0.7600000000000005,run,run,10000,7220,692,0,0,7,1,1,1,7
0.7700000000000005,run,run,10000,7197,694,0,0,21,1,1,1,21
0.7800000000000005,run,run,10000,7174,698,0,0,19,1,1,1,19
0.7900000000000005,run,run,10000,7161,699,0,0,12,1,1,1,12
0.8,run,run,10000,7149,700,0,0,11,1,1,1,11
