solver_part_id,comsol_edge_entity_id,raw_comsol_edge_entity_index,active_in_solver_boundary,segment_count,x_min_m,x_max_m,y_min_m,y_max_m,adjacent_domain_ids,solver_part_name,solver_material_name,comsol_material_name
2,2,1,False,4,0.0,0.0,0.0,0.02,2,axis_symmetry_2,axis_symmetry,not_exported_from_mphtxt
3,3,2,False,21,0.0,0.1519999999999999,0.0,0.0,2,wafer_3,wafer,not_exported_from_mphtxt
4,4,3,False,1,0.0,0.0,0.02,0.022,3,axis_symmetry_4,axis_symmetry,Air
5,5,4,False,57,0.0,0.15,0.02,0.02,2;3,comsol_wall_5,comsol_wall,Air
6,6,5,True,33,0.0,0.0,0.022,0.13,4,axis_symmetry_6,axis_symmetry,Glass (quartz)
7,7,6,True,37,0.0,0.15,0.0205,0.022,3;4,comsol_wall_7,comsol_wall,Air|Glass (quartz)
8,8,7,False,3,0.0,0.0,0.13,0.15,5,axis_symmetry_8,axis_symmetry,Air
9,9,8,True,33,0.0,0.24,0.13,0.13,4;5,comsol_wall_9,comsol_wall,Glass (quartz)|Air
10,10,9,False,9,0.0,0.0,0.15,0.22,6,axis_symmetry_10,axis_symmetry,Copper
11,11,10,False,73,0.0,0.25,0.15,0.15,5;6,comsol_wall_11,comsol_wall,Air|Copper
12,12,11,False,15,0.0,0.25,0.2199999999999999,0.22,6,chamber_wall_12,chamber_wall,Copper
13,13,12,False,20,0.02,0.02,0.157,0.1659999999999999,6;7,comsol_wall_13,comsol_wall,Copper
14,14,13,False,20,0.02,0.032,0.157,0.157,6;7,comsol_wall_14,comsol_wall,Copper
15,15,14,False,20,0.02,0.032,0.1659999999999999,0.1659999999999999,6;7,comsol_wall_15,comsol_wall,Copper
16,16,15,False,20,0.032,0.032,0.157,0.1659999999999999,6;7,comsol_wall_16,comsol_wall,Copper
17,17,16,False,20,0.055,0.055,0.157,0.1659999999999999,6;8,comsol_wall_17,comsol_wall,Copper
18,18,17,False,20,0.055,0.067,0.1569999999999999,0.157,6;8,comsol_wall_18,comsol_wall,Copper
19,19,18,False,20,0.055,0.067,0.1659999999999999,0.1659999999999999,6;8,comsol_wall_19,comsol_wall,Copper
20,20,19,False,20,0.067,0.067,0.157,0.1659999999999999,6;8,comsol_wall_20,comsol_wall,Copper
21,21,20,False,20,0.09,0.09,0.157,0.1659999999999999,6;9,comsol_wall_21,comsol_wall,Copper
22,22,21,False,20,0.09,0.102,0.1569999999999999,0.157,6;9,comsol_wall_22,comsol_wall,Copper
23,23,22,False,20,0.09,0.102,0.1659999999999999,0.1659999999999999,6;9,comsol_wall_23,comsol_wall,Copper
24,24,23,False,20,0.102,0.102,0.157,0.1659999999999999,6;9,comsol_wall_24,comsol_wall,Copper
25,25,24,False,20,0.125,0.125,0.157,0.1659999999999999,6;10,comsol_wall_25,comsol_wall,Copper|Glass (quartz)
26,26,25,False,20,0.125,0.137,0.1569999999999999,0.157,6;10,comsol_wall_26,comsol_wall,Copper|Glass (quartz)
27,27,26,False,20,0.125,0.137,0.1659999999999999,0.1659999999999999,6;10,comsol_wall_27,comsol_wall,Copper|Glass (quartz)
28,28,27,False,20,0.137,0.137,0.157,0.1659999999999999,6;10,comsol_wall_28,comsol_wall,Copper|Glass (quartz)
29,29,28,False,1,0.15,0.15,0.02,0.0205,3;4,comsol_wall_29,comsol_wall,Air|Glass (quartz)
30,30,29,False,4,0.15,0.1519999999999999,0.02,0.02,2;4,comsol_wall_30,comsol_wall,Glass (quartz)
31,31,30,False,9,0.1519999999999999,0.152,0.0,0.02,2;11,comsol_wall_31,comsol_wall,not_exported_from_mphtxt
32,32,31,False,5,0.1519999999999999,0.182,0.0,0.0,11,chamber_wall_32,chamber_wall,not_exported_from_mphtxt
33,33,32,False,1,0.1519999999999999,0.1519999999999999,0.02,0.0204999999999999,4;11,comsol_wall_33,comsol_wall,Glass (quartz)
34,34,33,True,20,0.1534999999999999,0.179,0.022,0.022,4;11,comsol_wall_34,comsol_wall,Glass (quartz)
35,35,34,True,5,0.1819999999999999,0.182,0.0,0.0189999999999999,4;11,comsol_wall_35,comsol_wall,Glass (quartz)
36,36,35,True,9,0.182,0.25,0.0,0.0,4,chamber_wall_36,chamber_wall,Glass (quartz)
37,37,36,True,2,0.24,0.24,0.103,0.108,4;12,comsol_wall_37,comsol_wall,Glass (quartz)
38,38,37,True,15,0.2399999999999999,0.24,0.108,0.123,4;12,comsol_wall_38,comsol_wall,Glass (quartz)
39,39,38,True,2,0.24,0.24,0.123,0.13,4;12,comsol_wall_39,comsol_wall,Glass (quartz)
40,40,39,False,2,0.24,0.25,0.13,0.13,5;12,comsol_wall_40,comsol_wall,Air
41,41,40,True,3,0.243,0.25,0.1,0.1,4;12,comsol_wall_41,comsol_wall,Glass (quartz)
42,42,41,True,15,0.25,0.25,0.0,0.1,4,sidewall_42,sidewall,Glass (quartz)
43,43,42,False,6,0.25,0.25,0.1,0.13,12,sidewall_43,sidewall,not_exported_from_mphtxt
44,44,43,False,3,0.25,0.25,0.13,0.15,5,sidewall_44,sidewall,Air
45,45,44,False,5,0.25,0.25,0.15,0.22,6,sidewall_45,sidewall,Copper
46,46,45,True,7,0.1519999999999999,0.1534999999999999,0.0204999999999999,0.022,4;11,comsol_wall_46,comsol_wall,Glass (quartz)
47,47,46,True,3,0.179,0.1819999999999999,0.0189999999999999,0.022,4;11,comsol_wall_47,comsol_wall,Glass (quartz)
48,48,47,True,3,0.24,0.243,0.1,0.103,4;12,comsol_wall_48,comsol_wall,Glass (quartz)
