part_id,element_count,field_supported_element_count,support_fraction,medium_status,x_min_m,x_max_m,y_min_m,y_max_m
2,447,0,0.0,device_part_no_solver_field,0.0,0.152,0.0,0.02
3,122,15,0.12295081967213115,device_part_touching_solver_field,0.0,0.15,0.02,0.022000000000000002
4,4605,4527,0.9830618892508143,solver_medium_region,0.0,0.25,0.0,0.13
5,614,0,0.0,device_part_no_solver_field,0.0,0.25,0.13,0.15000000000000002
6,6708,0,0.0,device_part_no_solver_field,0.0,0.25,0.15,0.22
7,1200,0,0.0,device_part_no_solver_field,0.02,0.03200000000000001,0.157,0.16599999999999998
8,1200,0,0.0,device_part_no_solver_field,0.055,0.06700000000000002,0.15699999999999997,0.16599999999999998
9,1200,0,0.0,device_part_no_solver_field,0.09,0.10200000000000004,0.15699999999999997,0.16599999999999998
10,1200,0,0.0,device_part_no_solver_field,0.12500000000000003,0.13700000000000007,0.15699999999999997,0.16599999999999998
11,300,43,0.14333333333333334,device_part_touching_solver_field,0.15199999999999997,0.182,0.0,0.022000000000000002
12,163,16,0.09815950920245399,device_part_touching_solver_field,0.23999999999999996,0.25,0.1,0.13
