nearest_boundary_part_id,state,count
42,active_free_flight,123
1004,active_free_flight,1
1096,active_free_flight,1
2487,active_free_flight,1
2883,active_free_flight,1
5302,active_free_flight,1
5905,active_free_flight,1
6342,active_free_flight,1
6802,active_free_flight,1
6816,active_free_flight,1
7431,active_free_flight,1
8266,active_free_flight,1
8444,active_free_flight,1
8603,active_free_flight,1
8680,active_free_flight,1
8778,active_free_flight,1
9001,absorbed,3
9001,active_free_flight,9534
9001,stuck,325
